session_id,timestamp,machine_id,operator_id,task_type,operator_skill,operator_experience_yrs,machine_age_yrs,engine_hours,weather,ground_condition,temperature_c,fuel_used_l,load_cycles,avg_payload_kg,idle_time_min,operating_time_min,seatbelt_status,proximity_min_m,people_in_zone,estimated_time_min,actual_time_min,safety_risk_score,safety_alert_triggered,anomaly_flag,anomaly_type
S004326,2026-07-15T00:39:28,WL003,OP1001,Material Loading,Intermediate,4,5,4055.7,Sunny,Firm,40.9,9.64,58,3783.9,18.51,36.61,Fastened,4.67,1,30.0,36.61,69.7,False,False,
S004327,2026-07-15T00:46:46,EXC001,OP1019,Earth Excavation,Intermediate,5,2,1530.0,Sunny,Firm,39.4,16.47,190,1293.2,28.83,64.33,Fastened,18.3,0,60.0,64.33,11.3,False,False,
S004328,2026-07-15T00:49:02,WL002,OP1003,Material Loading,Intermediate,4,1,783.8,Windy,Loose,30.9,9.67,65,3869.8,21.41,35.96,Fastened,3.2,1,30.0,35.96,71.8,True,False,
S004329,2026-07-15T00:52:09,EXC012,OP1028,Earth Excavation,Expert,11,8,6522.6,Rainy,Wet,29.3,28.72,262,1502.9,29.05,82.67,Fastened,4.22,1,60.0,82.67,73.8,True,False,
S004330,2026-07-15T01:00:08,MG002,OP1007,Grading,Expert,14,5,3986.9,Rainy,Wet,28.5,10.49,26,526.8,16.72,42.11,Fastened,30.41,0,35.0,42.11,21.9,False,False,
S004331,2026-07-15T01:07:09,DZ002,OP1020,Grading,Intermediate,5,6,5181.2,Foggy,Rocky,23.3,10.31,30,2378.2,15.12,49.58,Fastened,8.15,0,35.0,49.58,26.1,False,False,
S004332,2026-07-15T01:26:33,EXC009,OP1036,Earth Excavation,Beginner,0,3,2243.1,Rainy,Rocky,27.7,28.6,361,1247.5,45.5,102.7,Fastened,42.08,0,60.0,102.7,20.4,False,False,
S004333,2026-07-15T01:29:42,EXC011,OP1013,Earth Excavation,Expert,8,6,5075.0,Rainy,Wet,27.0,22.29,220,1220.0,20.8,69.11,Fastened,25.95,0,60.0,69.11,21.7,False,False,
S004334,2026-07-15T01:33:23,DZ002,OP1032,Earth Excavation,Expert,11,6,5181.2,Sunny,Rocky,39.0,21.54,211,2633.9,32.41,70.43,Fastened,17.55,0,60.0,70.43,12.2,False,False,
S004335,2026-07-15T01:34:35,MG001,OP1036,Grading,Beginner,0,5,4011.4,Sunny,Firm,36.6,11.89,29,846.3,30.61,43.86,Unfastened,17.91,0,35.0,43.86,40.4,False,False,
S004336,2026-07-15T01:44:37,MG002,OP1003,Grading,Intermediate,4,5,3986.9,Cloudy,Firm,35.9,9.34,27,726.2,20.24,37.79,Fastened,2.47,1,35.0,37.79,66.3,False,False,
S004337,2026-07-15T01:54:41,WL001,OP1017,Material Loading,Beginner,0,7,5493.1,Sunny,Firm,35.0,12.35,72,3173.0,18.58,44.39,Fastened,3.37,1,30.0,44.39,70.8,True,False,
S004338,2026-07-15T02:11:16,WL001,OP1021,Material Loading,Intermediate,5,7,5493.1,Sunny,Loose,38.1,11.61,76,3196.9,19.19,41.81,Fastened,2.35,1,30.0,41.81,68.8,False,False,
S004339,2026-07-15T02:13:22,WL004,OP1009,Material Loading,Expert,9,2,1563.6,Rainy,Wet,23.7,9.78,60,4334.3,11.76,37.13,Fastened,30.04,0,30.0,37.13,19.7,False,False,
S004340,2026-07-15T02:16:13,EXC012,OP1028,Trenching,Expert,11,8,6522.6,Sunny,Loose,37.0,14.31,114,1467.2,9.24,45.23,Fastened,4.19,1,45.0,45.23,67.7,False,False,
S004341,2026-07-15T02:20:25,MG001,OP1008,Grading,Expert,13,5,4011.4,Cloudy,Loose,34.6,8.95,25,823.7,16.2,36.28,Fastened,49.19,0,35.0,36.28,12.3,False,False,
S004342,2026-07-15T02:20:51,EXC007,OP1038,Earth Excavation,Intermediate,6,7,5857.0,Sunny,Rocky,40.5,25.1,216,1676.0,34.93,75.4,Fastened,21.94,0,60.0,75.4,9.2,False,False,
S004343,2026-07-15T02:22:47,EXC003,OP1027,Demolition,Intermediate,4,6,4636.1,Sunny,Firm,37.6,37.88,226,1562.2,48.67,98.43,Fastened,48.76,0,90.0,98.43,13.4,False,False,
S004344,2026-07-15T02:26:56,EXC012,OP1007,Trenching,Expert,14,8,6522.6,Sunny,Wet,40.6,13.28,106,1658.1,13.29,46.9,Fastened,28.57,0,45.0,46.9,6.0,False,False,
S004345,2026-07-15T02:34:40,WL001,OP1017,Material Loading,Beginner,0,7,5493.1,Sunny,Rocky,30.9,12.67,84,3842.0,32.18,46.6,Fastened,35.67,0,30.0,46.6,11.2,False,False,
S004346,2026-07-15T02:36:22,WL001,OP1005,Material Loading,Expert,12,7,5493.1,Rainy,Wet,27.2,13.26,76,3825.8,25.96,44.62,Fastened,12.57,0,30.0,44.62,18.9,False,False,
S004347,2026-07-15T02:37:30,EXC009,OP1035,Demolition,Expert,10,3,2243.1,Windy,Loose,28.0,40.46,243,1389.4,67.33,116.06,Fastened,3.57,1,90.0,116.06,68.6,False,False,
S004348,2026-07-15T02:52:36,EXC006,OP1016,Earth Excavation,Beginner,0,2,1571.3,Rainy,Rocky,23.6,28.18,273,1747.5,64.82,94.51,Fastened,4.93,1,60.0,94.51,82.8,True,False,
S004349,2026-07-15T03:13:50,EXC001,OP1047,Demolition,Intermediate,4,2,1530.0,Rainy,Wet,25.2,48.61,310,1738.9,40.24,148.18,Fastened,28.57,0,90.0,148.18,22.4,False,False,
S004350,2026-07-15T03:25:07,DZ001,OP1001,Earth Excavation,Intermediate,4,10,6972.1,Rainy,Rocky,25.2,32.66,310,2545.9,81.35,93.07,Fastened,13.55,0,60.0,93.07,27.8,False,False,
S004351,2026-07-15T03:38:50,EXC003,OP1038,Earth Excavation,Intermediate,6,6,4636.1,Rainy,Wet,24.5,26.83,242,1224.6,43.77,81.16,Fastened,36.62,0,60.0,81.16,23.0,False,False,
S004352,2026-07-15T03:40:57,EXC010,OP1016,Demolition,Beginner,0,5,3604.5,Rainy,Loose,26.0,57.2,277,1474.3,81.16,145.87,Fastened,3.94,1,90.0,145.87,88.9,True,False,
S004353,2026-07-15T03:51:29,EXC004,OP1004,Earth Excavation,Expert,8,5,3789.5,Rainy,Wet,24.4,24.66,215,1520.0,36.39,77.74,Fastened,25.02,0,60.0,77.74,17.2,False,False,
S004354,2026-07-15T04:00:52,DZ002,OP1031,Grading,Beginner,1,6,5181.2,Cloudy,Firm,27.4,10.84,31,2468.0,24.67,47.24,Fastened,9.39,0,35.0,47.24,5.1,False,False,
S004355,2026-07-15T04:10:02,EXC004,OP1015,Earth Excavation,Intermediate,2,5,3789.5,Sunny,Rocky,36.0,26.13,206,1778.3,43.39,79.17,Fastened,24.81,0,60.0,79.17,12.4,False,False,
S004356,2026-07-15T04:20:59,EXC004,OP1026,Earth Excavation,Expert,12,5,3789.5,Windy,Firm,28.6,21.41,225,1343.5,39.61,69.49,Fastened,30.0,0,60.0,69.49,10.1,False,False,
S004357,2026-07-15T04:24:24,MG001,OP1014,Grading,Intermediate,5,5,4011.4,Sunny,Firm,30.3,10.01,31,522.9,21.55,40.05,Fastened,27.79,0,35.0,40.05,12.3,False,False,
S004358,2026-07-15T04:25:06,DZ001,OP1045,Earth Excavation,Beginner,2,10,6972.1,Rainy,Wet,23.6,35.07,309,2738.4,59.78,103.7,Fastened,19.7,0,60.0,103.7,19.9,False,False,
S004359,2026-07-15T04:50:00,MG002,OP1032,Grading,Expert,11,5,3986.9,Rainy,Wet,29.5,10.56,31,628.2,20.67,41.74,Fastened,11.9,0,35.0,41.74,15.0,False,False,
S004360,2026-07-15T04:58:02,EXC003,OP1041,Demolition,Beginner,0,6,4636.1,Windy,Wet,27.0,55.76,290,1288.3,78.99,147.1,Fastened,8.1,0,90.0,147.1,12.2,False,False,
S004361,2026-07-15T05:06:33,EXC005,OP1033,Earth Excavation,Intermediate,3,7,6266.6,Sunny,Firm,36.6,20.92,163,1521.1,27.38,67.32,Fastened,21.97,0,60.0,67.32,11.3,False,False,
S004362,2026-07-15T05:08:09,EXC007,OP1003,Trenching,Intermediate,4,7,5857.0,Rainy,Wet,29.4,19.04,160,1327.7,23.95,61.82,Fastened,11.06,0,45.0,61.82,24.5,False,False,
S004363,2026-07-15T05:24:38,EXC005,OP1002,Earth Excavation,Beginner,0,7,6266.6,Sunny,Firm,40.1,27.82,308,1668.6,39.7,94.89,Fastened,28.79,0,60.0,94.89,12.8,False,False,
S004364,2026-07-15T05:33:13,WL001,OP1019,Material Loading,Intermediate,5,7,5493.1,Sunny,Loose,33.6,9.97,56,3309.9,15.79,32.64,Fastened,49.05,0,30.0,32.64,15.2,False,False,
S004365,2026-07-15T05:51:24,EXC007,OP1047,Trenching,Intermediate,4,7,5857.0,Cloudy,Loose,33.2,17.62,133,1377.9,23.34,59.54,Fastened,32.09,0,45.0,59.54,10.4,False,False,
S004366,2026-07-15T05:54:51,EXC001,OP1017,Trenching,Beginner,0,2,1530.0,Windy,Wet,34.1,19.55,164,1457.2,29.34,69.98,Fastened,37.0,0,45.0,69.98,13.7,False,False,
S004367,2026-07-15T06:01:03,DZ001,OP1023,Grading,Intermediate,4,10,6972.1,Cloudy,Loose,35.9,13.63,31,2201.2,24.9,49.38,Fastened,19.46,0,35.0,49.38,12.5,False,False,
S004368,2026-07-15T06:02:18,EXC005,OP1028,Trenching,Expert,11,7,6266.6,Rainy,Wet,23.3,14.87,144,1357.6,16.27,56.08,Fastened,46.53,0,45.0,56.08,22.4,False,False,
S004369,2026-07-15T06:02:38,EXC005,OP1037,Earth Excavation,Beginner,1,7,6266.6,Windy,Firm,33.5,26.68,268,1695.5,75.25,83.14,Fastened,9.72,0,60.0,83.14,5.9,False,False,
S004370,2026-07-15T06:11:41,EXC004,OP1026,Demolition,Expert,12,5,3789.5,Rainy,Loose,22.4,36.48,271,1351.4,59.01,100.59,Fastened,42.56,0,90.0,100.59,24.8,False,False,
S004371,2026-07-15T06:12:14,WL001,OP1039,Material Loading,Intermediate,3,7,5493.1,Foggy,Loose,22.9,13.1,92,3296.4,7.3,47.28,Unfastened,1.95,1,30.0,47.28,100.0,True,False,
S004372,2026-07-15T06:28:01,EXC012,OP1001,Earth Excavation,Intermediate,4,8,6522.6,Windy,Firm,34.7,22.4,188,1419.2,36.32,64.18,Unfastened,35.25,0,60.0,64.18,34.9,False,False,
S004373,2026-07-15T06:35:08,EXC012,OP1022,Earth Excavation,Beginner,1,8,6522.6,Sunny,Firm,36.7,31.01,216,1500.4,47.97,84.94,Fastened,27.95,0,60.0,84.94,15.4,False,False,
S004374,2026-07-15T06:40:53,EXC001,OP1003,Trenching,Intermediate,4,2,1530.0,Rainy,Loose,29.4,20.45,182,1549.5,26.17,75.27,Fastened,41.77,0,45.0,75.27,26.3,False,False,
S004375,2026-07-15T06:47:33,DZ002,OP1032,Grading,Expert,11,6,5181.2,Rainy,Wet,29.0,9.17,31,2421.9,18.58,38.42,Fastened,37.76,0,35.0,38.42,20.8,False,False,
S004376,2026-07-15T06:51:00,EXC003,OP1025,Earth Excavation,Intermediate,2,6,4636.1,Windy,Firm,25.5,19.87,210,1722.1,29.23,70.5,Fastened,4.01,1,60.0,70.5,71.0,True,False,
S004377,2026-07-15T06:54:13,DZ002,OP1034,Grading,Beginner,0,6,5181.2,Sunny,Rocky,31.8,12.76,36,2112.9,26.4,52.55,Fastened,26.34,0,35.0,52.55,8.9,False,False,
S004378,2026-07-15T06:57:42,EXC003,OP1045,Earth Excavation,Beginner,2,6,4636.1,Sunny,Firm,33.0,27.14,231,1585.6,34.49,81.73,Fastened,47.95,0,60.0,81.73,7.0,False,False,
S004379,2026-07-15T07:01:21,EXC009,OP1005,Earth Excavation,Expert,12,3,2243.1,Sunny,Firm,31.0,16.21,134,1438.5,18.96,52.1,Fastened,40.87,0,60.0,52.1,16.0,False,False,
S004380,2026-07-15T07:01:48,MG002,OP1016,Grading,Beginner,0,5,3986.9,Rainy,Wet,23.3,15.61,42,615.1,36.43,64.48,Fastened,3.68,1,35.0,64.48,87.0,True,False,
S004381,2026-07-15T07:23:04,WL004,OP1031,Material Loading,Beginner,1,2,1563.6,Sunny,Rocky,30.8,11.16,65,4483.3,21.06,41.68,Fastened,24.42,0,30.0,41.68,11.1,False,False,
S004382,2026-07-15T07:23:59,DZ001,OP1026,Grading,Expert,12,10,6972.1,Rainy,Firm,24.3,10.88,26,2698.9,28.28,43.33,Fastened,34.02,0,35.0,43.33,23.4,False,False,
S004383,2026-07-15T07:27:59,EXC007,OP1010,Demolition,Intermediate,6,7,5857.0,Sunny,Wet,33.8,45.66,237,1776.3,70.88,120.17,Fastened,9.2,0,90.0,120.17,6.9,False,False,
S004384,2026-07-15T07:37:50,EXC010,OP1029,Trenching,Intermediate,5,5,3604.5,Cloudy,Loose,29.4,14.75,152,1497.7,26.1,54.6,Fastened,47.96,0,45.0,54.6,5.8,False,False,
S004385,2026-07-15T07:39:31,EXC011,OP1043,Earth Excavation,Beginner,1,6,5075.0,Sunny,Firm,34.2,27.77,252,1375.0,53.96,81.38,Fastened,33.1,0,60.0,81.38,15.1,False,False,
S004386,2026-07-15T07:41:54,MG002,OP1036,Grading,Beginner,0,5,3986.9,Rainy,Rocky,26.6,15.86,37,642.1,48.45,59.64,Fastened,11.41,0,35.0,59.64,18.2,False,False,
S004387,2026-07-15T07:46:47,DZ002,OP1035,Grading,Expert,10,6,5181.2,Sunny,Firm,34.9,7.84,18,2135.7,13.25,31.83,Fastened,16.94,0,35.0,31.83,13.1,False,False,
S004388,2026-07-15T07:53:38,EXC008,OP1018,Earth Excavation,Expert,13,8,5737.3,Rainy,Loose,25.8,26.98,235,1627.6,26.96,80.62,Fastened,18.47,0,60.0,80.62,20.9,False,False,
S004389,2026-07-15T07:54:19,MG002,OP1005,Grading,Expert,12,5,3986.9,Foggy,Wet,22.2,13.13,34,619.0,26.84,51.88,Fastened,46.79,0,35.0,51.88,22.0,False,False,
S004390,2026-07-15T08:04:33,WL001,OP1026,Material Loading,Expert,12,7,5493.1,Sunny,Firm,30.3,6.98,56,3934.1,12.2,25.85,Fastened,24.28,0,30.0,25.85,7.6,False,False,
S004391,2026-07-15T08:18:24,EXC011,OP1012,Demolition,Intermediate,3,6,5075.0,Sunny,Loose,40.8,42.84,211,1560.3,68.73,105.8,Fastened,42.38,0,90.0,105.8,6.5,False,False,
S004392,2026-07-15T08:38:37,EXC003,OP1048,Trenching,Beginner,2,6,4636.1,Foggy,Wet,25.7,28.79,198,1331.3,42.77,87.55,Fastened,32.31,0,45.0,87.55,25.0,False,False,
S004393,2026-07-15T08:40:03,WL004,OP1007,Material Loading,Expert,14,2,1563.6,Cloudy,Loose,32.7,7.99,55,3596.0,10.97,31.32,Fastened,3.85,1,30.0,31.32,70.8,True,False,
S004394,2026-07-15T08:44:18,WL004,OP1005,Material Loading,Expert,12,2,1563.6,Sunny,Rocky,40.7,8.49,49,3944.0,14.45,31.38,Fastened,4.99,1,30.0,31.38,67.0,False,False,
S004395,2026-07-15T08:59:01,EXC009,OP1024,Earth Excavation,Intermediate,2,3,2243.1,Rainy,Rocky,28.4,27.4,316,1412.0,57.42,92.91,Fastened,37.4,0,60.0,92.91,23.7,False,False,
S004396,2026-07-15T09:03:04,EXC001,OP1009,Trenching,Expert,9,2,1530.0,Sunny,Rocky,34.3,12.35,114,1751.8,10.43,45.16,Unfastened,29.05,0,45.0,45.16,34.8,False,False,
S004397,2026-07-15T09:21:41,EXC005,OP1009,Trenching,Expert,9,7,6266.6,Cloudy,Rocky,33.7,17.97,133,1292.7,22.97,53.97,Fastened,4.87,1,45.0,53.97,71.5,True,False,
S004398,2026-07-15T09:26:20,EXC009,OP1030,Trenching,Intermediate,5,3,2243.1,Sunny,Rocky,36.5,15.45,124,1326.1,25.99,52.14,Fastened,16.75,0,45.0,52.14,11.7,False,False,
S004399,2026-07-15T09:33:34,EXC012,OP1003,Earth Excavation,Intermediate,4,8,6522.6,Sunny,Loose,34.4,25.47,206,1766.3,24.3,82.94,Fastened,27.38,0,60.0,82.94,10.9,False,False,
S004400,2026-07-15T09:35:25,MG001,OP1021,Grading,Intermediate,5,5,4011.4,Cloudy,Firm,26.9,10.15,25,665.3,17.25,41.63,Fastened,31.7,0,35.0,41.63,8.4,False,False,
S004401,2026-07-15T09:37:39,EXC001,OP1005,Trenching,Expert,12,2,1530.0,Windy,Firm,30.6,10.81,94,1685.5,19.06,37.58,Fastened,27.27,0,45.0,37.58,13.4,False,False,
S004402,2026-07-15T09:47:17,EXC012,OP1010,Trenching,Intermediate,6,8,6522.6,Sunny,Rocky,34.4,19.36,146,1555.6,22.35,59.69,Fastened,49.94,0,45.0,59.69,10.5,False,False,
S004403,2026-07-15T09:52:04,EXC007,OP1017,Demolition,Beginner,0,7,5857.0,Sunny,Loose,32.7,106.18,254,1798.5,53.38,128.39,Fastened,34.81,0,90.0,128.39,7.3,False,True,fuel_spike
S004404,2026-07-15T10:07:18,EXC003,OP1009,Trenching,Expert,9,6,4636.1,Cloudy,Loose,33.0,13.12,151,1695.0,11.35,49.34,Fastened,36.66,0,45.0,49.34,10.1,False,False,
S004405,2026-07-15T10:14:59,WL001,OP1018,Material Loading,Expert,13,7,5493.1,Rainy,Wet,28.4,11.91,68,4045.7,14.45,42.71,Fastened,10.87,0,30.0,42.71,28.0,False,False,
S004406,2026-07-15T10:34:38,EXC003,OP1005,Earth Excavation,Expert,12,6,4636.1,Rainy,Rocky,27.9,30.09,216,1562.4,38.71,83.96,Fastened,27.63,0,60.0,83.96,22.0,False,False,
S004407,2026-07-15T10:40:45,EXC009,OP1038,Demolition,Intermediate,6,3,2243.1,Sunny,Rocky,41.0,43.44,226,1467.7,50.38,116.39,Fastened,20.31,0,90.0,116.39,13.3,False,False,
S004408,2026-07-15T10:42:12,EXC010,OP1001,Demolition,Intermediate,4,5,3604.5,Foggy,Wet,25.1,49.36,278,1441.3,99.1,140.87,Fastened,2.86,1,90.0,140.87,82.0,True,False,
S004409,2026-07-15T10:48:31,EXC012,OP1040,Earth Excavation,Intermediate,2,8,6522.6,Cloudy,Firm,33.9,28.81,273,1449.1,47.85,76.41,Fastened,13.37,0,60.0,76.41,16.4,False,False,
S004410,2026-07-15T10:55:52,EXC004,OP1001,Trenching,Intermediate,4,5,3789.5,Cloudy,Loose,28.6,18.48,142,1322.4,29.98,54.06,Fastened,46.04,0,45.0,54.06,8.8,False,False,
S004411,2026-07-15T10:57:40,DZ001,OP1050,Grading,Beginner,0,10,6972.1,Sunny,Rocky,40.4,15.78,38,2959.0,45.28,54.57,Fastened,35.56,0,35.0,54.57,8.6,False,False,
S004412,2026-07-15T11:00:51,WL001,OP1005,Material Loading,Expert,12,7,5493.1,Sunny,Rocky,40.6,9.69,49,3055.4,12.13,32.06,Fastened,13.87,0,30.0,32.06,10.8,False,False,
S004413,2026-07-15T11:03:53,MG001,OP1038,Grading,Intermediate,6,5,4011.4,Cloudy,Firm,26.4,8.67,22,715.8,15.6,36.22,Fastened,21.65,0,35.0,36.22,7.5,False,False,
S004414,2026-07-15T11:05:57,EXC010,OP1025,Earth Excavation,Intermediate,2,5,3604.5,Cloudy,Loose,29.0,19.48,233,1788.5,32.1,66.66,Fastened,1.28,1,60.0,66.66,72.4,True,False,
S004415,2026-07-15T11:10:50,EXC003,OP1037,Earth Excavation,Beginner,1,6,4636.1,Foggy,Wet,26.1,41.24,378,1407.6,110.01,110.78,Fastened,33.3,0,60.0,110.78,19.8,False,False,
S004416,2026-07-15T11:15:56,WL001,OP1011,Material Loading,Expert,14,7,5493.1,Windy,Rocky,34.5,10.56,58,3092.8,21.0,37.77,Fastened,31.44,0,30.0,37.77,9.3,False,False,
S004417,2026-07-15T11:28:14,EXC004,OP1002,Trenching,Beginner,0,5,3789.5,Sunny,Loose,31.2,18.78,131,1487.1,25.46,64.92,Fastened,19.4,0,45.0,64.92,9.7,False,False,
S004418,2026-07-15T11:32:38,EXC010,OP1001,Earth Excavation,Intermediate,4,5,3604.5,Windy,Firm,32.4,19.18,155,1642.3,39.51,62.39,Fastened,35.54,0,60.0,62.39,14.1,False,False,
S004419,2026-07-15T11:36:11,MG002,OP1011,Grading,Expert,14,5,3986.9,Sunny,Wet,32.0,9.16,23,806.8,14.94,37.19,Fastened,21.03,0,35.0,37.19,12.5,False,False,
S004420,2026-07-15T11:40:37,WL002,OP1032,Material Loading,Expert,11,1,783.8,Sunny,Wet,40.5,8.26,45,3828.3,10.77,27.78,Fastened,49.27,0,30.0,27.78,8.4,False,False,
S004421,2026-07-15T11:47:05,EXC012,OP1014,Earth Excavation,Intermediate,5,8,6522.6,Windy,Loose,32.9,24.68,285,1599.7,42.24,84.44,Fastened,14.6,0,60.0,84.44,7.1,False,False,
S004422,2026-07-15T11:49:16,EXC009,OP1012,Demolition,Intermediate,3,3,2243.1,Sunny,Rocky,36.8,38.09,209,1542.9,77.97,110.54,Unfastened,4.71,1,90.0,110.54,100.0,True,False,
S004423,2026-07-15T11:49:56,WL004,OP1010,Material Loading,Intermediate,6,2,1563.6,Sunny,Rocky,37.3,8.24,55,4332.4,23.56,29.38,Fastened,27.17,0,30.0,29.38,10.8,False,False,
S004424,2026-07-15T11:52:21,EXC006,OP1004,Trenching,Expert,8,2,1571.3,Sunny,Rocky,35.9,11.57,93,1349.5,15.9,41.14,Fastened,32.54,0,45.0,41.14,12.5,False,False,
S004425,2026-07-15T12:05:19,WL003,OP1038,Material Loading,Intermediate,6,5,4055.7,Sunny,Firm,31.2,8.42,51,3825.1,16.81,30.42,Fastened,49.78,0,30.0,30.42,12.2,False,False,
S004426,2026-07-15T12:09:41,EXC010,OP1022,Earth Excavation,Beginner,1,5,3604.5,Rainy,Wet,28.2,39.12,353,1254.7,75.26,104.61,Fastened,8.04,0,60.0,104.61,23.5,False,False,
S004427,2026-07-15T12:13:00,EXC012,OP1009,Earth Excavation,Expert,9,8,6522.6,Windy,Firm,26.1,20.62,203,1614.0,16.81,61.22,Fastened,11.73,0,60.0,61.22,6.9,False,False,
S004428,2026-07-15T12:18:05,EXC011,OP1049,Earth Excavation,Beginner,0,6,5075.0,Cloudy,Firm,31.5,26.87,281,1321.2,59.92,84.42,Fastened,43.77,0,60.0,84.42,12.6,False,False,
S004429,2026-07-15T12:22:28,EXC003,OP1008,Earth Excavation,Expert,13,6,4636.1,Sunny,Rocky,34.4,18.65,190,1583.5,27.14,61.37,Fastened,37.16,0,60.0,61.37,11.0,False,False,
S004430,2026-07-15T12:28:13,MG001,OP1021,Grading,Intermediate,5,5,4011.4,Sunny,Loose,39.3,10.37,30,595.5,8.17,48.67,Fastened,15.79,0,35.0,48.67,6.7,False,False,
S004431,2026-07-15T12:32:45,EXC004,OP1036,Trenching,Beginner,0,5,3789.5,Rainy,Wet,27.6,21.32,188,1222.5,40.89,76.93,Fastened,14.26,0,45.0,76.93,25.9,False,False,
S004432,2026-07-15T12:52:22,EXC003,OP1016,Earth Excavation,Beginner,0,6,4636.1,Sunny,Firm,40.1,29.41,287,1315.9,58.32,88.1,Fastened,9.98,0,60.0,88.1,6.6,False,False,
S004433,2026-07-15T12:58:00,WL003,OP1018,Material Loading,Expert,13,5,4055.7,Rainy,Loose,22.4,10.58,47,3978.5,15.63,34.86,Fastened,38.77,0,30.0,34.86,21.1,False,False,
S004434,2026-07-15T13:13:25,EXC012,OP1010,Earth Excavation,Intermediate,6,8,6522.6,Rainy,Loose,29.1,27.52,238,1211.0,55.66,87.15,Fastened,18.87,0,60.0,87.15,17.6,False,False,
S004435,2026-07-15T13:18:10,EXC012,OP1040,Earth Excavation,Intermediate,2,8,6522.6,Cloudy,Firm,32.6,27.62,230,1572.5,33.6,72.79,Fastened,38.17,0,60.0,72.79,6.7,False,False,
S004436,2026-07-15T13:19:54,WL002,OP1045,Material Loading,Beginner,2,1,783.8,Cloudy,Firm,30.5,11.45,77,4497.8,26.67,42.19,Fastened,49.61,0,30.0,42.19,10.8,False,False,
S004437,2026-07-15T13:20:34,EXC001,OP1015,Demolition,Intermediate,2,2,1530.0,Foggy,Wet,24.6,45.23,243,1672.0,54.42,128.29,Fastened,8.12,0,90.0,128.29,21.9,False,False,
S004438,2026-07-15T13:26:48,EXC002,OP1008,Trenching,Expert,13,8,5866.0,Sunny,Firm,37.3,11.65,88,1230.9,14.65,41.28,Fastened,29.55,0,45.0,41.28,8.4,False,False,
S004439,2026-07-15T13:27:41,EXC003,OP1017,Trenching,Beginner,0,6,4636.1,Windy,Loose,34.2,19.0,199,1439.7,32.01,71.4,Unfastened,1.5,1,45.0,71.4,100.0,True,True,unsafe_operation
S004440,2026-07-15T13:32:15,EXC010,OP1031,Earth Excavation,Beginner,1,5,3604.5,Sunny,Rocky,38.6,23.69,226,1663.4,28.77,75.85,Fastened,34.69,0,60.0,75.85,10.7,False,False,
S004441,2026-07-15T13:34:39,EXC004,OP1004,Trenching,Expert,8,5,3789.5,Cloudy,Firm,31.5,10.86,99,1418.4,7.67,36.36,Fastened,36.77,0,45.0,36.36,9.7,False,False,
S004442,2026-07-15T13:35:46,WL004,OP1002,Material Loading,Beginner,0,2,1563.6,Rainy,Wet,25.7,14.55,89,3962.1,24.56,54.36,Fastened,12.54,0,30.0,54.36,19.7,False,False,
S004443,2026-07-15T13:39:38,WL004,OP1017,Material Loading,Beginner,0,2,1563.6,Rainy,Loose,26.1,12.97,87,3410.5,32.12,52.54,Fastened,48.34,0,30.0,52.54,19.5,False,False,
S004444,2026-07-15T13:40:51,EXC012,OP1011,Earth Excavation,Expert,14,8,6522.6,Cloudy,Loose,27.0,20.98,210,1588.2,23.24,69.15,Fastened,48.31,0,60.0,69.15,8.3,False,False,
S004445,2026-07-15T13:42:28,EXC011,OP1003,Demolition,Intermediate,4,6,5075.0,Rainy,Wet,26.9,44.74,270,1579.8,46.26,131.99,Unfastened,34.17,0,90.0,131.99,51.9,False,False,
S004446,2026-07-15T13:43:37,EXC004,OP1042,Earth Excavation,Beginner,0,5,3789.5,Cloudy,Loose,35.5,30.66,256,1484.6,49.1,95.05,Fastened,20.31,0,60.0,95.05,7.1,False,False,
S004447,2026-07-15T13:47:55,DZ002,OP1032,Earth Excavation,Expert,11,6,5181.2,Rainy,Rocky,23.7,21.83,203,2143.1,18.7,64.18,Fastened,3.36,1,60.0,64.18,82.1,True,False,
S004448,2026-07-15T13:51:22,DZ001,OP1039,Grading,Intermediate,3,10,6972.1,Cloudy,Rocky,32.9,11.36,14,2884.7,12.99,46.8,Fastened,15.35,0,35.0,46.8,10.7,False,True,abnormal_cycle_time
S004449,2026-07-15T13:55:15,WL003,OP1038,Material Loading,Intermediate,6,5,4055.7,Cloudy,Firm,28.7,9.12,63,4367.6,23.21,31.0,Fastened,25.01,0,30.0,31.0,7.9,False,False,
S004450,2026-07-15T14:06:53,EXC009,OP1020,Earth Excavation,Intermediate,5,3,2243.1,Rainy,Wet,28.2,24.99,252,1486.4,30.58,82.43,Fastened,13.63,0,60.0,82.43,21.7,False,False,
S004451,2026-07-15T14:13:37,DZ001,OP1018,Grading,Expert,13,10,6972.1,Rainy,Wet,25.7,11.97,35,2656.4,24.43,49.72,Fastened,19.22,0,35.0,49.72,27.3,False,False,
S004452,2026-07-15T14:14:37,MG002,OP1003,Grading,Intermediate,4,5,3986.9,Sunny,Firm,38.0,9.21,26,702.4,12.24,40.02,Fastened,29.68,0,35.0,40.02,11.4,False,False,
S004453,2026-07-15T14:14:58,EXC006,OP1050,Trenching,Beginner,0,2,1571.3,Sunny,Firm,32.2,18.59,136,1627.5,34.02,65.16,Fastened,35.25,0,45.0,65.16,10.2,False,False,
S004454,2026-07-15T14:16:22,WL001,OP1029,Material Loading,Intermediate,5,7,5493.1,Windy,Loose,26.4,10.78,62,3769.0,28.16,37.23,Fastened,10.31,0,30.0,37.23,9.5,False,False,
